Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
3,5,2,4,155,0.025641026,0.046153846,0,0.022268629,0.013434773,0.555555556
,,,,,,,,,,
3,5,3,3,155,0.019230769,0.166666667,0,0.022358575,0.025449877,0.115384615
,,,,,,,,,,
3,5,4,5,155,0.032051282,0.074074074,0,0.035166122,0.015734386,0.432692308
,,,,,,,,,,
3,5,5,3,155,0.019230769,0.047619048,0,0.026015047,0.011608589,0.403846154
,,,,,,,,,,
3,6,1,1,76,0.012987013,0.016949153,0,0.003700605,0.006437732,0.766233766
,,,,,,,,,,
3,6,2,2,76,0.025974026,0.058823529,0,0.02853241,0.018076135,0.441558442
,,,,,,,,,,
3,6,3,5,76,0.064935065,0.064935065,0,0.03141802,0.022300529,1
,,,,,,,,,,
3,6,4,3,76,0.038961039,0.053571429,0,0.021763055,0.020346159,0.727272727
,,,,,,,,,,
3,6,5,1,76,0.012987013,0.055555556,0,0.019578263,0.014092197,0.233766234
,,,,,,,,,,
3,7,1,4,168,0.023668639,0.111111111,0,0.035425392,0.021360552,0.213017751
,,,,,,,,,,
3,7,2,4,168,0.023668639,0.043478261,0,0.026280447,0.011414276,0.544378698
,,,,,,,,,,
3,7,3,5,168,0.029585799,0.034482759,0,0.018432753,0.009191945,0.857988166
,,,,,,,,,,
3,7,4,4,168,0.023668639,0.054054054,0,0.031900742,0.014755937,0.437869822
,,,,,,,,,,
3,7,5,3,168,0.017751479,0.018691589,0,0.006377759,0.007230814,0.949704142
,,,,,,,,,,
3,8,1,2,189,0.010526316,0.047619048,0,0.014261711,0.008739629,0.221052632
,,,,,,,,,,
3,8,2,2,189,0.010526316,0.022727273,0,0.011870454,0.006998321,0.463157895
,,,,,,,,,,
3,8,3,5,189,0.026315789,0.2,0,0.033397948,0.023266106,0.131578947
,,,,,,,,,,
3,8,4,4,189,0.021052632,0.047619048,0,0.027013295,0.012224076,0.442105263
,,,,,,,,,,
3,8,5,3,189,0.015789474,0.037037037,0,0.014180737,0.007560984,0.426315789
,,,,,,,,,,
3,9,1,4,168,0.023668639,0.040540541,0,0.022116976,0.012363247,0.58382643
,,,,,,,,,,
3,9,2,4,168,0.023668639,0.044444444,0,0.02772377,0.01222943,0.532544379
,,,,,,,,,,
3,9,3,5,168,0.029585799,0.029585799,0,0.013558365,0.010381463,1
,,,,,,,,,,
3,9,4,3,168,0.017751479,0.029411765,0,0.016801594,0.00875524,0.603550296
,,,,,,,,,,
3,9,5,1,168,0.00591716,0.010869565,0,0.003669705,0.004058173,0.544378698
,,,,,,,,,,
3,10,1,4,144,0.027586207,0.047619048,0,0.025348912,0.011095036,0.579310345
,,,,,,,,,,
3,10,2,3,144,0.020689655,0.25,0,0.0398965,0.033214177,0.082758621
,,,,,,,,,,
3,10,3,3,144,0.020689655,0.0234375,0,0.008186242,0.008315738,0.882758621
,,,,,,,,,,
3,10,4,5,144,0.034482759,0.333333333,0,0.034761135,0.041342036,0.103448276
,,,,,,,,,,
3,10,5,2,144,0.013793103,0.032258065,0,0.014052607,0.010147776,0.427586207
,,,,,,,,,,
3,11,1,3,204,0.014634146,0.071428571,0,0.022212841,0.010574843,0.204878049
,,,,,,,,,,
3,11,2,4,204,0.019512195,0.030769231,0,0.01689311,0.009771833,0.634146341
,,,,,,,,,,
3,11,3,3,204,0.014634146,0.066666667,0,0.019938281,0.011338872,0.219512195
,,,,,,,,,,
3,11,4,5,204,0.024390244,0.036144578,0,0.022113201,0.009812123,0.674796748
,,,,,,,,,,
3,11,5,4,204,0.019512195,0.055555556,0,0.021606466,0.011503805,0.351219512
,,,,,,,,,,
3,12,1,4,437,0.00913242,0.0625,0,0.020899666,0.012487473,0.146118721
,,,,,,,,,,
3,12,2,5,437,0.011415525,0.038461538,0,0.011671335,0.006411503,0.296803653
,,,,,,,,,,
3,12,3,2,437,0.00456621,0.028985507,0,0.008599125,0.006350873,0.157534247
,,,,,,,,,,
3,12,4,4,437,0.00913242,0.029411765,0,0.013360966,0.007650829,0.310502283
,,,,,,,,,,
3,12,5,4,437,0.00913242,0.028571429,0,0.009982461,0.006289682,0.319634703
,,,,,,,,,,
3,13,1,5,223,0.022321429,0.046511628,0,0.023954109,0.011285277,0.479910714
,,,,,,,,,,
3,13,2,4,223,0.017857143,0.041666667,0,0.01942513,0.008103138,0.428571429
,,,,,,,,,,
3,13,3,4,223,0.017857143,0.044117647,0,0.021829805,0.010813869,0.404761905
,,,,,,,,,,
3,13,4,3,223,0.013392857,0.045454545,0,0.022128233,0.010264899,0.294642857
,,,,,,,,,,
3,13,5,2,223,0.008928571,0.019047619,0,0.008028245,0.006331577,0.46875
,,,,,,,,,,
3,14,1,2,124,0.016,0.031746032,0,0.01249793,0.011161965,0.504
,,,,,,,,,,
3,14,2,4,124,0.032,0.071428571,0,0.035590052,0.014954745,0.448
,,,,,,,,,,
3,14,3,3,124,0.024,0.03030303,0,0.017220647,0.010500919,0.792
,,,,,,,,,,
3,14,4,5,124,0.04,0.090909091,0,0.032475965,0.01542605,0.44
,,,,,,,,,,
3,14,5,4,124,0.032,0.095238095,0,0.046398517,0.019937386,0.336
,,,,,,,,,,
3,15,1,5,169,0.029411765,0.038461538,0,0.024566036,0.011879279,0.764705882
,,,,,,,,,,
3,15,2,3,169,0.017647059,0.041666667,0,0.013367426,0.008784646,0.423529412
,,,,,,,,,,
3,15,3,4,169,0.023529412,0.058823529,0,0.024818001,0.012683733,0.4
,,,,,,,,,,
3,15,4,4,169,0.023529412,0.026315789,0,0.015148857,0.008974576,0.894117647
,,,,,,,,,,
3,15,5,3,169,0.017647059,0.034883721,0,0.017755237,0.010790103,0.505882353
